age,value.Polygenic Score,low.se.Polygenic Score,upper.se.Polygenic Score,value.LDL Cholesterol,low.se.LDL Cholesterol,upper.se.LDL Cholesterol,value.Smoking,low.se.Smoking,upper.se.Smoking,value.Age,low.se.Age,upper.se.Age,value.Systolic blood pressure,low.se.Systolic blood pressure,upper.se.Systolic blood pressure,value.Total cholesterol,low.se.Total cholesterol,upper.se.Total cholesterol,value.Body Mass Index,low.se.Body Mass Index,upper.se.Body Mass Index,value.Male Sex,low.se.Male Sex,upper.se.Male Sex,value.High-density Lipoprotein,low.se.High-density Lipoprotein,upper.se.High-density Lipoprotein
18.00,2.68,0.99,7.25,0.75,0.19,3.00,3.15,0.53,18.86,1.01,0.33,3.04,1.81,0.81,4.06,0.43,0.09,2.03,1.26,0.63,2.53,4.65,0.52,41.65,0.45,0.13,1.58
19.00,3.58,1.39,9.19,0.68,0.22,2.07,1.98,0.44,8.84,0.48,0.19,1.25,1.95,0.96,3.95,0.45,0.14,1.44,1.22,0.53,2.84,3.29,0.64,16.95,0.47,0.16,1.40
20.00,1.77,0.72,4.32,0.80,0.27,2.35,1.50,0.34,6.71,1.85,0.63,5.46,2.18,1.05,4.56,0.83,0.30,2.29,1.55,0.76,3.18,2.78,0.54,14.35,0.93,0.37,2.34
21.00,1.65,0.70,3.85,0.76,0.25,2.30,1.40,0.31,6.25,0.78,0.31,1.94,2.85,1.09,7.47,1.10,0.41,2.99,1.61,0.75,3.43,2.79,0.54,14.38,1.52,0.66,3.48
22.00,1.38,0.68,2.78,1.17,0.59,2.31,1.52,0.43,5.38,0.91,0.43,1.93,2.68,1.12,6.42,1.14,0.57,2.29,2.11,1.14,3.89,4.82,1.02,22.72,0.87,0.40,1.90
23.00,1.62,0.81,3.23,0.83,0.37,1.86,2.85,0.76,10.73,1.41,0.64,3.12,2.44,1.18,5.05,0.70,0.31,1.60,1.97,1.14,3.38,4.20,1.11,15.82,0.66,0.30,1.49
24.00,1.58,0.99,2.51,1.23,0.78,1.94,1.79,0.76,4.23,1.36,0.80,2.32,1.57,0.95,2.58,0.99,0.61,1.60,2.11,1.53,2.90,3.29,1.41,7.69,0.44,0.26,0.74
25.00,1.20,0.80,1.80,1.09,0.76,1.57,1.59,0.80,3.14,1.36,0.88,2.11,1.26,0.82,1.94,1.03,0.71,1.50,1.51,1.18,1.93,2.78,1.36,5.67,0.69,0.46,1.02
26.00,1.15,0.81,1.64,1.21,0.89,1.65,1.78,0.92,3.44,0.77,0.52,1.14,1.30,0.88,1.92,1.16,0.83,1.61,1.45,1.15,1.83,2.97,1.48,5.97,0.64,0.44,0.92
27.00,1.53,1.15,2.03,1.24,0.95,1.62,1.91,1.10,3.32,1.29,0.92,1.81,1.48,1.07,2.05,1.15,0.86,1.54,1.25,1.01,1.55,2.14,1.22,3.75,0.62,0.45,0.84
28.00,1.43,1.10,1.86,1.46,1.08,1.97,2.07,1.18,3.64,1.15,0.82,1.61,1.50,1.10,2.05,1.29,0.95,1.77,1.26,1.02,1.54,1.92,1.11,3.33,0.60,0.43,0.82
29.00,1.52,1.16,1.99,1.50,1.13,1.99,1.93,1.15,3.26,0.63,0.46,0.88,1.40,1.03,1.91,1.45,1.08,1.95,1.27,1.03,1.57,1.94,1.15,3.28,0.56,0.41,0.76
30.00,1.28,0.96,1.70,1.68,1.30,2.16,1.51,0.90,2.53,1.24,0.89,1.73,1.57,1.16,2.12,1.67,1.29,2.15,1.43,1.17,1.74,2.39,1.39,4.12,0.51,0.37,0.71
31.00,1.64,1.23,2.19,1.57,1.23,2.01,1.44,0.88,2.36,1.24,0.91,1.69,1.79,1.32,2.42,1.53,1.19,1.95,1.65,1.31,2.09,2.36,1.40,3.96,0.54,0.40,0.74
32.00,1.50,1.13,2.00,1.65,1.29,2.10,1.19,0.73,1.93,0.81,0.60,1.09,1.61,1.27,2.05,1.50,1.17,1.93,1.58,1.30,1.92,2.02,1.23,3.32,0.61,0.46,0.82
33.00,1.56,1.15,2.13,1.45,1.11,1.89,1.48,0.89,2.46,1.07,0.78,1.47,1.45,1.11,1.89,1.36,1.02,1.81,1.36,1.10,1.69,2.35,1.38,4.00,0.71,0.54,0.94
34.00,1.64,1.22,2.19,1.54,1.20,1.99,1.55,0.95,2.51,1.30,0.97,1.74,1.36,1.05,1.75,1.46,1.11,1.92,1.34,1.09,1.65,1.66,1.02,2.70,0.62,0.47,0.82
35.00,1.90,1.44,2.50,1.52,1.22,1.89,2.46,1.53,3.96,1.04,0.78,1.40,1.27,0.96,1.68,1.41,1.10,1.79,1.32,1.06,1.64,2.56,1.56,4.21,0.50,0.38,0.66
36.00,1.96,1.47,2.63,1.62,1.27,2.06,2.29,1.41,3.73,0.83,0.61,1.11,1.34,1.01,1.78,1.52,1.17,1.98,1.38,1.11,1.71,1.92,1.17,3.16,0.55,0.41,0.74
37.00,1.73,1.30,2.30,1.71,1.35,2.15,2.11,1.32,3.39,1.12,0.84,1.50,1.38,1.09,1.75,1.69,1.32,2.17,1.37,1.11,1.69,3.91,2.20,6.92,0.54,0.41,0.72
38.00,1.60,1.20,2.13,1.92,1.50,2.45,1.83,1.14,2.95,1.16,0.86,1.58,1.47,1.17,1.85,1.91,1.48,2.47,1.36,1.13,1.65,2.92,1.70,5.00,0.54,0.40,0.72
39.00,1.51,1.12,2.02,1.61,1.27,2.04,1.74,1.09,2.76,0.81,0.61,1.08,1.42,1.14,1.77,1.55,1.20,2.02,1.30,1.08,1.57,3.60,2.09,6.22,0.57,0.44,0.75
40.00,1.58,1.20,2.09,1.39,1.11,1.74,1.98,1.26,3.09,1.13,0.86,1.50,1.38,1.09,1.75,1.23,0.95,1.58,1.26,1.05,1.51,3.25,2.00,5.26,0.51,0.38,0.67
41.00,1.62,1.25,2.11,1.44,1.16,1.80,1.71,1.12,2.60,1.11,0.85,1.46,1.47,1.19,1.83,1.31,1.03,1.68,1.31,1.10,1.56,2.94,1.87,4.62,0.52,0.40,0.68
42.00,1.60,1.24,2.07,1.63,1.34,1.97,1.78,1.19,2.67,1.03,0.81,1.32,1.43,1.16,1.77,1.48,1.20,1.82,1.30,1.12,1.52,2.84,1.85,4.37,0.41,0.31,0.53
43.00,1.60,1.20,2.13,1.92,1.57,2.35,1.33,0.85,2.08,0.98,0.76,1.27,1.34,1.07,1.70,1.70,1.39,2.08,1.27,1.08,1.50,2.85,1.78,4.55,0.49,0.38,0.63
44.00,1.83,1.37,2.43,1.65,1.35,2.01,1.78,1.16,2.73,1.06,0.81,1.38,1.14,0.91,1.42,1.45,1.17,1.78,1.19,1.01,1.41,2.62,1.69,4.07,0.50,0.39,0.64
45.00,1.86,1.42,2.42,1.75,1.43,2.14,1.70,1.13,2.56,1.09,0.86,1.40,1.15,0.93,1.41,1.59,1.30,1.95,1.21,1.01,1.46,2.04,1.35,3.08,0.63,0.51,0.79
46.00,1.66,1.27,2.17,1.62,1.33,1.97,2.34,1.56,3.53,0.96,0.74,1.23,1.24,1.03,1.48,1.63,1.33,1.99,1.23,1.02,1.49,1.58,1.06,2.36,0.71,0.57,0.88
47.00,1.36,1.05,1.78,1.66,1.40,1.98,2.00,1.34,2.98,1.22,0.96,1.55,1.32,1.10,1.57,1.70,1.42,2.04,1.20,0.98,1.47,1.85,1.24,2.77,0.80,0.65,0.99
48.00,1.34,1.00,1.79,1.51,1.26,1.81,1.93,1.30,2.88,1.00,0.79,1.26,1.34,1.13,1.60,1.57,1.30,1.89,1.20,0.98,1.48,2.42,1.58,3.71,0.67,0.54,0.84
49.00,1.53,1.18,1.98,1.43,1.21,1.69,1.52,1.03,2.25,0.93,0.72,1.19,1.25,1.05,1.48,1.39,1.16,1.67,1.26,1.01,1.58,2.03,1.35,3.05,0.63,0.50,0.79
50.00,1.77,1.33,2.37,1.19,0.99,1.43,1.36,0.90,2.07,1.14,0.88,1.47,1.23,1.03,1.47,1.17,0.96,1.42,1.20,0.95,1.51,1.91,1.24,2.95,0.72,0.58,0.89
51.00,1.58,1.15,2.17,1.19,0.98,1.45,1.46,0.93,2.28,1.02,0.78,1.35,1.23,1.03,1.47,1.13,0.92,1.39,1.22,0.95,1.57,1.49,0.94,2.37,0.79,0.63,0.99
52.00,1.80,1.19,2.72,1.21,0.95,1.54,1.42,0.86,2.34,0.87,0.64,1.17,1.11,0.92,1.33,1.06,0.83,1.34,1.20,0.92,1.56,2.94,1.59,5.44,0.76,0.60,0.98
53.00,1.32,0.79,2.20,1.25,0.96,1.62,1.32,0.76,2.32,0.97,0.67,1.41,1.02,0.83,1.24,1.10,0.85,1.42,1.20,0.87,1.65,2.35,1.25,4.43,0.66,0.50,0.88
54.00,2.00,1.24,3.22,1.03,0.76,1.40,1.10,0.58,2.10,1.14,0.78,1.67,0.94,0.73,1.19,0.89,0.64,1.23,1.07,0.74,1.54,2.61,1.27,5.37,0.65,0.47,0.88
55.00,1.49,0.91,2.44,0.91,0.65,1.28,1.12,0.53,2.35,1.21,0.76,1.94,1.00,0.79,1.26,0.81,0.55,1.18,1.05,0.69,1.59,1.69,0.79,3.59,0.47,0.30,0.74
56.00,1.99,1.07,3.70,1.10,0.73,1.65,0.98,0.41,2.33,1.13,0.69,1.85,1.13,0.86,1.50,1.02,0.67,1.57,1.10,0.80,1.52,1.97,0.80,4.90,0.36,0.20,0.65
57.00,0.88,0.25,3.16,1.27,0.75,2.16,0.90,0.36,2.25,0.87,0.50,1.51,1.16,0.86,1.58,1.18,0.76,1.84,1.08,0.76,1.54,2.59,0.92,7.25,0.26,0.14,0.51